animal_id	animal_type	sex	primary_bree	dob	secondary_	kennel_no	impound_no	intake_type	intake_subtype	intake_date	s_n_date	intake_cond	weight	weight_1_week	outcome_type	outcome_subtype	outcome_date	due_out_date	outcome_cond	days_old	dob_abs	intake_date_abs	outcome_date_abs	days_intake_to_s_n_date	location_1	location_1_date	location_2	location_2_date	behavior_cond	outcome_behavior_cond	euth_reason	intake_date_form_2	los	los_1	los_2	age_s_n_date	weight_difference	in_to_due_out_date_diff	due_out_to_outcome_date_diff
A068767	CAT	S	DOMESTIC SH	2008-03-10 00:00:00		C58	K16-047181	STRAY	REHAB	2016-12-20 00:00:00		CMTR 19	12.31		TRANS CAT	REHAB	2017-02-09 00:00:00	2016-12-31 00:00:00	CMTR 19	3207.0					ISO CAT	2016-12-20 16:42:00	ISO CAT	2017-01-27 13:29:00		P000290		2016-12-20 00:00:00	51.0	0.69583	37.86597			11.0	40.0
A162926	DOG	S	PIT BULL	2015-12-29 00:00:00	MIX	25	K16-047182	STRAY	REHAB	2016-12-20 00:00:00	2017-01-18 00:00:00	DMTR 4	54.0		ADOPTION	REHAB	2017-01-28 00:00:00	2016-12-24 00:00:00	DMTR 4	357.0					RECEIVING	2016-12-20 15:33:00	30	2017-01-18 14:58:00				2016-12-20 00:00:00	39.0	0.64792	28.97569	386.0		4.0	35.0
A061812	CAT	N	DOMESTIC MH	2009-08-21 00:00:00		C02	K16-047184	RETURN<365	REHAB	2016-12-20 00:00:00	2009-12-10 00:00:00	CMTR 1	11.88		ADOPTION	REHAB	2017-01-31 00:00:00	2016-12-20 16:04:00	CMTR 1	2678.0					RECEIVING	2016-12-20 16:04:00	C30	2016-12-22 15:56:00				2016-12-20 00:00:00	42.0	0.66944	1.99444	111.0		0.66944	41.33056
A160149	DOG	N	BASSET HOUND	2008-08-19 00:00:00		8	K16-047191	OWNER SUR	MANAGEAB	2016-12-21 00:00:00		DMTM 8			ADOPTION	MANAGEABLE	2017-01-03 00:00:00	2016-12-21 15:41:00	DMTM 8	3046.0												2016-12-21 00:00:00	13.0					0.65347	12.34653
A162955	DOG	F	DACHSHUND	2007-12-22 00:00:00		1	K16-047194	STRAY	UNHEALTH	2016-12-22 00:00:00		DBUU 1			EUTH	UNHEALTHY	2017-01-04 00:00:00	2016-12-28 00:00:00	DBUU 1	3288.0					RECEIVING	2016-12-22 09:09:00	RECEIVING	2016-12-22 09:09:00		P134157	UNHEALTHY	2016-12-22 00:00:00	13.0	0.38125	0.0			6.0	7.0
A162975	DOG	N	SCHNAUZER MIN	2014-01-04 00:00:00	YORKSHIRE TERR	31	K16-047200	STRAY	MANAGEAB	2016-12-23 00:00:00		DBTM 2	17.0		RESCUE IND	MANAGEABLE	2017-01-06 00:00:00	2016-12-29 00:00:00	DBTM 2	1084.0					RECEIVING	2016-12-23 10:39:00	20	2017-01-04 13:11:00				2016-12-23 00:00:00	14.0	0.44375	12.10556			6.0	8.0
A162997	CAT	N	DOMESTIC LH	2014-12-30 00:00:00		C07	K16-047202	STRAY	REHAB	2016-12-24 00:00:00	2016-12-30 00:00:00	CBTR 1	11.63		ADOPTION	REHAB	2017-01-06 00:00:00	2016-12-30 00:00:00	CBTR 1	725.0					RECEIVING	2016-12-24 12:21:00	SURG HOLD	2016-12-30 10:46:00				2016-12-24 00:00:00	13.0	0.51458	5.93403	731.0		6.0	7.0
A162999	CAT	N	DOMESTIC SH	2014-12-30 00:00:00		C17	K16-047203	STRAY	REHAB	2016-12-24 00:00:00		CMTR 10	10.0		TRANS OHS	REHAB	2017-01-03 00:00:00	2016-12-30 00:00:00	CMTR 10	725.0					RECEIVING	2016-12-24 12:35:00	C51	2016-12-30 13:33:00				2016-12-24 00:00:00	10.0	0.52431	6.04028			6.0	4.0
A163007	DOG	N	GERM SHEPHERD	2016-01-04 00:00:00	MIX	30	K16-047209	STRAY	UNHEALTH	2016-12-26 00:00:00	2017-01-10 00:00:00	DBUU 3	60.2		RESCUE OTH	UNHEALTHY	2017-01-14 00:00:00	2016-12-30 00:00:00	DBUU 3	357.0					RECEIVING	2016-12-26 07:45:00	3	2017-01-04 13:35:00				2016-12-26 00:00:00	19.0	0.32292	9.24306	372.0		4.0	15.0
A163022	CAT	N	DOMESTIC SH	2012-12-31 00:00:00		C12	K16-047214	STRAY	REHAB	2016-12-27 00:00:00		CMTR 1	8.63		ADOPTION	REHAB	2017-01-06 00:00:00	2016-12-31 00:00:00	CMTR 1	1457.0					RECEIVING	2016-12-27 13:33:00	C34	2016-12-31 16:46:00				2016-12-27 00:00:00	10.0	0.56458	4.13403			4.0	6.0
A163027	CAT	N	DOMESTIC SH	2016-05-31 00:00:00		C11	K16-047215	STRAY	REHAB	2016-12-27 00:00:00	2016-12-31 00:00:00	CBTR 1			ADOPTION	REHAB	2017-01-04 00:00:00	2016-12-31 00:00:00	CBTR 1	210.0					RECEIVING	2016-12-27 15:12:00	SURG HOLD	2016-12-31 10:15:00				2016-12-27 00:00:00	8.0	0.63333	3.79375	214.0		4.0	4.0
A163049	CAT	F	SNOWSHOE		MIX	C38	K16-047219	STRAY	UNHEALTH	2016-12-28 00:00:00		CBUU 1	6.25		RESCUE OTH	UNHEALTHY	2017-01-05 00:00:00	2017-01-01 00:00:00	CBUU 1						STRAY CAT	2016-12-28 14:31:00	STRAY CAT	2016-12-28 14:31:00				2016-12-28 00:00:00	8.0	0.60486	0.0			4.0	4.0
A163050	DOG	N	LABRADOR RETR	2016-03-28 00:00:00	PIT BULL	2	K16-047220	OWNER SUR	UNHEALTH	2016-12-28 00:00:00		DBUU 6	44.6		EUTH	UNHEALTHY	2017-01-04 00:00:00	2016-12-28 14:31:00	DBUU 6	275.0					RECEIVING	2016-12-28 14:33:00	RECEIVING	2016-12-28 14:43:00			UNHEALTHY	2016-12-28 00:00:00	7.0	0.60625	0.00694			0.60486	6.39514
A149959	DOG	S	LABRADOR RETR	2013-08-20 00:00:00	MIX	Q54	K16-047221	QUARANTINE	UNHEALTH	2016-12-28 00:00:00		DBUU 2			RTO	UNHEALTHY	2017-01-05 00:00:00	2017-01-06 00:00:00	DBUU 2	1226.0					Q DOGS	2016-12-28 15:17:00	Q DOGS	2016-12-28 15:29:00				2016-12-28 00:00:00	8.0	0.63681	0.00833			9.0	-1.0
A163052	CAT	F	DOMESTIC SH			C57	K16-047222	STRAY	HEALTHY	2016-12-28 00:00:00		CBH			TRANS OHS	HEALTHY	2017-01-03 00:00:00	2017-01-01 00:00:00	CBH						STRAY CAT	2016-12-28 16:04:00	STRAY CAT	2016-12-28 16:06:00				2016-12-28 00:00:00	6.0	0.66944	0.00139			4.0	2.0
A163053	CAT	M	DOMESTIC SH			C49	K16-047223	STRAY	HEALTHY	2016-12-28 00:00:00		NORMAL	3.75		TRANS OHS	HEALTHY	2017-01-03 00:00:00	2017-01-01 00:00:00	NORMAL													2016-12-28 00:00:00	6.0					4.0	2.0
A163054	CAT	F	DOMESTIC SH			C49	K16-047224	STRAY	HEALTHY	2016-12-28 00:00:00		NORMAL	3.75		TRANS OHS	HEALTHY	2017-01-03 00:00:00	2017-01-01 00:00:00	NORMAL													2016-12-28 00:00:00	6.0					4.0	2.0
A110148	CAT	S	DOMESTIC LH	2013-06-01 00:00:00		C32	K16-047225	RETURN>1Y	REHAB	2016-12-28 00:00:00	2013-08-16 00:00:00	CMTR 1	9.63		TRANS CAT	MANAGEABLE	2017-01-13 00:00:00	2016-12-28 16:49:00	CBTM 1	1306.0					RECEIVING	2016-12-28 16:50:00	C35	2016-12-28 17:15:00				2016-12-28 00:00:00	16.0	0.70139	0.01736	76.0		0.70069	15.29931
A163068	DOG	N	MIN PINSCHER	2005-01-01 00:00:00		23	K16-047226	STRAY	HEALTHY	2016-12-29 00:00:00		NORMAL	10.8		RTO	HEALTHY	2017-01-03 00:00:00	2017-01-11 00:00:00	NORMAL	4380.0					RECEIVING	2016-12-29 11:33:00	RECEIVING	2016-12-29 11:33:00				2016-12-29 00:00:00	5.0	0.48125	0.0			13.0	-8.0
A163071	CAT	N	DOMESTIC SH			STRAY CAT	K16-047227	STRAY	HEALTHY	2016-12-29 00:00:00		NORMAL			TRANS CAT	HEALTHY	2017-01-04 00:00:00	2017-01-04 00:00:00	NORMAL													2016-12-29 00:00:00	6.0					6.0	0.0
A162948	CAT	N	DOMESTIC LH	2014-01-04 00:00:00		C55	K16-047228	STRAY	REHAB	2016-12-29 00:00:00	2017-01-05 00:00:00	CMTR 10		11.25	TRANS CAT	REHAB	2017-01-13 00:00:00	2017-01-04 00:00:00	CMTR 10	1090.0					STRAY CAT	2016-12-29 13:27:00	VET	2016-12-30 09:38:00				2016-12-29 00:00:00	15.0	0.56042	0.84097	1097.0		6.0	9.0
A163077	CAT	S	PERSIAN	2012-01-04 00:00:00		C17	K16-047230	STRAY	REHAB	2016-12-29 00:00:00		CMTR 1	6.06		ADOPTION	REHAB	2017-01-10 00:00:00	2017-01-04 00:00:00	CMTR 1	1821.0					RECEIVING	2016-12-29 14:21:00	SURG HOLD	2017-01-06 11:59:00				2016-12-29 00:00:00	12.0	0.59792	7.90139			6.0	6.0
A163079	CAT	M	DOMESTIC SH			C43	K16-047231	STRAY	HEALTHY	2016-12-29 00:00:00		NORMAL	2.25		TRANS OHS	HEALTHY	2017-01-03 00:00:00	2016-12-29 00:00:00	NORMAL						STRAY CAT	2016-12-29 17:16:00	STRAY CAT	2016-12-29 17:21:00				2016-12-29 00:00:00	5.0	0.71944	0.00347			0.0	5.0
A163080	CAT	F	DOMESTIC SH			C43	K16-047232	STRAY	HEALTHY	2016-12-29 00:00:00		NORMAL	2.31		TRANS OHS	HEALTHY	2017-01-03 00:00:00	2016-12-29 00:00:00	NORMAL													2016-12-29 00:00:00	5.0					0.0	5.0
A163090	CAT	N	DOMESTIC SH	2015-07-06 00:00:00		C14	K16-047233	STRAY	REHAB	2016-12-30 00:00:00	2017-01-06 00:00:00	CBTR 1	9.0		ADOPTION	REHAB	2017-01-07 00:00:00	2017-01-05 00:00:00	CBTR 1	543.0					STRAY CAT	2016-12-30 10:16:00	SURG HOLD	2017-01-06 10:27:00				2016-12-30 00:00:00	8.0	0.42778	7.00764	550.0		6.0	2.0
A163091	CAT	N	DOMESTIC SH	2002-12-30 00:00:00		C59	K16-047234	STRAY	UNHEALTH	2016-12-30 00:00:00		CMUU 5	7.75		EUTH	UNHEALTHY	2017-01-24 00:00:00	2017-01-11 00:00:00	CMUU 5	5114.0					STRAY CAT	2016-12-30 11:21:00	STRAY CAT	2016-12-30 11:30:00			UNHEALTHY	2016-12-30 00:00:00	25.0	0.47292	0.00625			12.0	13.0
A163092	CAT	N	DOMESTIC SH			C35	K16-047235	STRAY	UNHEALTH	2016-12-30 00:00:00		CMUU 5	8.0		EUTH	UNHEALTHY	2017-01-05 00:00:00	2017-01-05 00:00:00	CMUU 5						STRAY CAT	2016-12-30 11:31:00	STRAY CAT	2016-12-30 11:33:00			UNHEALTHY	2016-12-30 00:00:00	6.0	0.47986	0.00139			6.0	0.0
A163114	DOG	F	COLLIE SMOOTH	2004-11-24 00:00:00	MIX	5	K16-047239	STRAY	HEALTHY	2016-12-31 00:00:00		NORMAL	52.0		RTO	HEALTHY	2017-01-11 00:00:00	2017-01-11 00:00:00	NORMAL	4420.0					STRAY DOGS	2016-12-31 09:24:00	STRAY DOGS	2016-12-31 09:30:00				2016-12-31 00:00:00	11.0	0.39167	0.00417			11.0	0.0
A163117	CAT	N	DOMESTIC SH	2007-01-07 00:00:00		C14	K16-047241	STRAY	UNHEALTH	2016-12-31 00:00:00		CMUU 5	8.56		ADOPTION	UNHEALTHY	2017-01-18 00:00:00	2017-01-06 00:00:00	CMUU 5	3646.0					STRAY CAT	2016-12-31 10:52:00	C40	2017-01-10 16:39:00				2016-12-31 00:00:00	18.0	0.45278	10.24097			6.0	12.0
A163121	PUPPY	S	CHIHUAHUA SH	2016-11-05 00:00:00	MIX	28	K16-047243	STRAY	REHAB	2016-12-31 00:00:00	2017-01-10 00:00:00	DBTR 1	5.2		ADOPTION	REHAB	2017-01-13 00:00:00	2017-01-06 00:00:00	DBTR 1	56.0					Q51	2016-12-31 13:31:00	Q51	2017-01-05 15:08:00				2016-12-31 00:00:00	13.0	0.56319	5.06736	66.0		6.0	7.0
A152075	DOG	F	LABRADOR RETR			22	K16-047245	STRAY	HEALTHY	2016-12-31 00:00:00		NORMAL	67.7		RTO	HEALTHY	2017-01-03 00:00:00	2017-01-11 00:00:00	NORMAL													2016-12-31 00:00:00	3.0					11.0	-8.0
A163125	CAT	M	DOMESTIC LH			C51	K16-047247	STRAY	UNHEALTH	2016-12-31 00:00:00		CBUU 2			EUTH	UNHEALTHY	2017-01-06 00:00:00	2017-01-06 00:00:00	CBUU 2						STRAY CAT	2016-12-31 17:12:00	STRAY CAT	2016-12-31 17:14:00			UNHEALTHY	2016-12-31 00:00:00	6.0	0.71667	0.00139			6.0	0.0
A163126	DOG	S	PIT BULL	2015-07-11 00:00:00	MIX	39	K16-047248	STRAY	MANAGEAB	2016-12-31 00:00:00		DMTM 8	58.4		ADOPTION	MANAGEABLE	2017-01-25 00:00:00	2017-01-21 00:00:00	DMTM 8	539.0					STRAY DOGS	2016-12-31 17:38:00	4	2017-01-24 16:06:00		P134542		2016-12-31 00:00:00	25.0	0.73472	23.93611			21.0	4.0
A163131	DOG	F	SHIH TZU	2009-01-01 00:00:00		5	K17-047249	STRAY	HEALTHY	2017-01-01 00:00:00		NORMAL	16.2		RTO	HEALTHY	2017-01-03 00:00:00	2017-01-06 00:00:00	NORMAL	2922.0					STRAY DOGS	2017-01-01 07:45:00	STRAY DOGS	2017-01-01 07:45:00				2017-01-01 00:00:00	2.0	0.32292	0.0			5.0	-3.0
A163132	DOG	S	PIT BULL	2015-01-01 00:00:00	MIX	6	K17-047250	STRAY	HEALTHY	2017-01-01 00:00:00		NORMAL	44.2		RTO	HEALTHY	2017-01-03 00:00:00	2017-01-11 00:00:00	NORMAL	731.0												2017-01-01 00:00:00	2.0					10.0	-8.0
A163139	DOG	N	HAVANESE	2014-01-14 00:00:00	MIX	36	K17-047253	STRAY	UNHEALTH	2017-01-02 00:00:00	2017-01-19 00:00:00	DMUU 5	11.8		RESCUE IND	UNHEALTHY	2017-01-20 00:00:00	2017-01-06 00:00:00	DMUU 5	1084.0					STRAY DOGS	2017-01-02 08:14:00	7	2017-01-14 10:36:00				2017-01-02 00:00:00	18.0	0.34306	12.09861	1101.0		4.0	14.0
A150660	DOG	S	CHIHUAHUA SH	2012-05-26 00:00:00		24	K17-047256	PRO CUST	HEALTHY	2017-01-02 00:00:00	2016-05-27 00:00:00	NORMAL	9.6		RTO	HEALTHY	2017-01-07 00:00:00	2017-01-11 00:00:00	NORMAL	1682.0												2017-01-02 00:00:00	5.0			1462.0		9.0	-4.0
A163150	CAT	N	DOMESTIC SH	2016-06-07 00:00:00		SURG HOLD	K17-047258	STRAY	HEALTHY	2017-01-03 00:00:00	2017-01-07 00:00:00	CMH	8.06		ADOPTION	HEALTHY	2017-01-09 00:00:00	2017-01-07 00:00:00	CMH	210.0					RECEIVING	2017-01-03 09:51:00	C34	2017-01-06 13:53:00				2017-01-03 00:00:00	6.0	0.41042	3.16806	214.0		4.0	2.0
A163156	DOG	N	TIBETAN TERR	2014-01-11 00:00:00	MIX	25	K17-047261	STRAY	REHAB	2017-01-03 00:00:00		DMTR 1			ADOPTION	REHAB	2017-01-12 00:00:00	2017-01-07 00:00:00	DMTR 1	1088.0					RECEIVING	2017-01-03 12:14:00	21	2017-01-11 13:35:00				2017-01-03 00:00:00	9.0	0.50972	8.05625			4.0	5.0
A163160	CAT	S	DOMESTIC LH	2013-01-07 00:00:00		C07	K17-047264	STRAY	REHAB	2017-01-03 00:00:00		CMTR 1	9.38		ADOPTION	REHAB	2017-01-14 00:00:00	2017-01-07 00:00:00	CMTR 1	1457.0					RECEIVING	2017-01-03 14:26:00	C57	2017-01-07 11:44:00				2017-01-03 00:00:00	11.0	0.60139	3.8875			4.0	7.0
A163162	DOG	N	AUST KELPIE	2014-01-03 00:00:00	MIX	22	K17-047265	STRAY	UNHEALTH	2017-01-03 00:00:00		DBUU 1	35.6		EUTH	UNHEALTHY	2017-01-14 00:00:00	2017-01-12 00:00:00	DBUU 1	1096.0											UNHEALTHY	2017-01-03 00:00:00	11.0					9.0	2.0
A163164	DOG	N	CHIHUAHUA SH	2011-01-12 00:00:00		43	K17-047266	STRAY	REHAB	2017-01-03 00:00:00	2017-01-24 00:00:00	DMTR 1	4.2		ADOPTION	REHAB	2017-01-28 00:00:00	2017-01-07 00:00:00	DMTR 1	2183.0					RECEIVING	2017-01-03 16:08:00	34	2017-01-12 16:46:00				2017-01-03 00:00:00	25.0	0.67222	9.02639	2204.0		4.0	21.0
A163165	DOG	N	GOLDEN RETR	2007-01-14 00:00:00		29	K17-047267	STRAY	REHAB	2017-01-03 00:00:00	2017-01-18 00:00:00	DMTR 1	73.8		ADOPTION	REHAB	2017-01-20 00:00:00	2017-01-12 07:00:00	DMTR 1	3642.0					RECEIVING	2017-01-03 16:49:00	31	2017-01-18 12:01:00				2017-01-03 00:00:00	17.0	0.70069	14.8	3657.0		9.29167	7.70833
A135414	DOG	S	AM PIT BULL TER	2014-11-01 00:00:00	BOXER	26	K17-047268	RETURN <30	MANAGEAB	2017-01-03 00:00:00		DBTM 5			ADOPTION	MANAGEABLE	2017-01-18 00:00:00	2017-01-03 16:49:00	DBTM 5	794.0												2017-01-03 00:00:00	15.0					0.70069	14.29931
A163171	DOG	F	DACHSHUND		MIX	Q50	K17-047270	PRO CUST	REHAB	2017-01-04 00:00:00		DMTR 12	4.88		RTO	REHAB	2017-01-05 00:00:00	2017-01-12 00:00:00	DMTR 12						RECEIVING	2017-01-04 10:06:00	Q51	2017-01-04 10:49:00				2017-01-04 00:00:00	1.0	0.42083	0.02986			8.0	-7.0
A162974	PUPPY	N	CHIHUAHUA SH	2016-11-05 00:00:00		25	K17-047271	RETURN <30	REHAB	2017-01-04 00:00:00	2016-12-29 00:00:00	DBTR 1			ADOPTION	REHAB	2017-01-06 00:00:00	2017-01-04 12:14:00	DBTR 1	60.0					RECEIVING	2017-01-04 12:15:00	RECEIVING	2017-01-04 12:15:00				2017-01-04 00:00:00	2.0	0.51042	0.0	54.0		0.50972	1.49028
A163178	CAT	S	DOMESTIC LH	2015-01-10 00:00:00		C12	K17-047272	STRAY	HEALTHY	2017-01-04 00:00:00		CMH	8.31		ADOPTION	HEALTHY	2017-01-12 00:00:00	2017-01-08 00:00:00	CMH	725.0					STRAY CAT	2017-01-04 12:33:00	C36	2017-01-10 15:54:00				2017-01-04 00:00:00	8.0	0.52292	6.13958			4.0	4.0
A109342	DOG	S	AUST SHEPHERD	2010-06-01 00:00:00	MIX	23	K17-047273	STRAY	HEALTHY	2017-01-04 00:00:00		NORMAL			RTO	HEALTHY	2017-01-04 00:00:00	2017-01-13 00:00:00	NORMAL	2409.0					STRAY DOGS	2017-01-04 12:44:00	STRAY DOGS	2017-01-04 12:44:00				2017-01-04 00:00:00	0.0	0.53056	0.0			9.0	-9.0
A163180	DOG	S	CHIHUAHUA SH	2016-01-12 00:00:00		26	K17-047274	STRAY	REHAB	2017-01-04 00:00:00	2017-01-24 00:00:00	DBTR 1			ADOPTION	REHAB	2017-01-30 00:00:00	2017-01-08 00:00:00	DBTR 1	358.0					15	2017-01-04 13:13:00	30	2017-01-24 12:39:00				2017-01-04 00:00:00	26.0	0.55069	19.97639	378.0		4.0	22.0
A163181	DOG	N	CHIHUAHUA SH	2016-01-12 00:00:00		29	K17-047275	STRAY	MANAGEAB	2017-01-04 00:00:00	2017-01-24 00:00:00	DMTM 9	4.31		ADOPTION	MANAGEABLE	2017-01-28 00:00:00	2017-01-08 00:00:00	DMTM 9	358.0					10	2017-01-04 13:17:00	33	2017-01-18 14:42:00				2017-01-04 00:00:00	24.0	0.55347	14.05903	378.0		4.0	20.0
A163183	DOG	F	PARSON RUSS TER		MIX	2	K17-047276	STRAY	UNHEALTH	2017-01-04 00:00:00		DBUU 1	14.2		EUTH	UNHEALTHY	2017-01-10 00:00:00	2017-01-09 07:00:00	DBUU 1						RECEIVING	2017-01-04 14:37:00	RECEIVING	2017-01-04 14:37:00			UNHEALTHY	2017-01-04 00:00:00	6.0	0.60903	0.0			5.29167	0.70833
A162660	KITTEN	S	DOMESTIC SH	2016-10-28 00:00:00		L01	K17-047277	FOSTER-VO	REHAB	2017-01-04 00:00:00	2017-01-05 00:00:00	CMTR 12	2.56		ADOPTION	REHAB	2017-01-09 00:00:00	2017-01-04 17:23:00	CMTR 12	68.0					ADOPT CAT	2017-01-04 17:25:00	C43	2017-01-04 17:28:00				2017-01-04 00:00:00	5.0	0.72569	0.00208	69.0		0.72431	4.27569
A163171	DOG	F	DACHSHUND		MIX	Q50	K17-047278	OWNER SUR	REHAB	2017-01-05 00:00:00		DMTR 12			RESCUE IND	REHAB	2017-01-06 00:00:00	2017-01-05 10:00:00	DMTR 12													2017-01-05 00:00:00	1.0					0.41667	0.58333
A163199	DOG	N	TERRIER	2015-07-03 00:00:00		1	K17-047279	STRAY	HEALTHY	2017-01-05 00:00:00		NORMAL	29.0		RTO	HEALTHY	2017-01-05 00:00:00	2017-01-14 00:00:00	NORMAL	552.0					RECEIVING	2017-01-05 10:16:00	RECEIVING	2017-01-05 10:50:00				2017-01-05 00:00:00	0.0	0.42778	0.02361			9.0	-9.0
A096339	DOG	S	CHIHUAHUA LH	2008-07-12 00:00:00		32	K17-047280	RETURN>1Y	UNHEALTH	2017-01-05 00:00:00	2012-07-12 00:00:00	DMUU 5	11.4		RESCUE IND	UNHEALTHY	2017-01-20 00:00:00	2017-01-05 10:22:00	DMUU 5	3099.0					RECEIVING	2017-01-05 10:23:00	3	2017-01-11 14:00:00				2017-01-05 00:00:00	15.0	0.43264	6.15069	1461.0		0.43194	14.56806
A163200	CAT	N	DOMESTIC LH	2015-01-10 00:00:00		C30	K17-047281	STRAY	REHAB	2017-01-05 00:00:00	2017-01-12 00:00:00	CMTR 13	9.5		ADOPTION	REHAB	2017-01-13 00:00:00	2017-01-10 00:00:00	CMTR 13	726.0					RECEIVING	2017-01-05 10:32:00	RECEIVING	2017-01-05 10:36:00				2017-01-05 00:00:00	8.0	0.43889	0.00278	733.0		5.0	3.0
A163204	CAT	N	DOMESTIC SH	2014-01-10 00:00:00		C17	K17-047283	STRAY	REHAB	2017-01-05 00:00:00		CMTR 10	10.06		ADOPTION	REHAB	2017-01-14 00:00:00	2017-01-10 00:00:00	CMTR 10	1091.0					RECEIVING	2017-01-05 13:21:00	C41	2017-01-11 15:14:00				2017-01-05 00:00:00	9.0	0.55625	6.07847			5.0	4.0
